site,species,x,y,distance.to.tree.m,soil.depth.cm
McGilvra Woods,Sanguinaria canadensis,9.6,3.6,1.8,50
McGilvra Woods,Trillium flexipes,13,0,3.4,50
McGilvra Woods,Trillium flexipes,8.9,0.4,0.5,50
McGilvra Woods,Trillium flexipes,17.4,4,2.3,50
McGilvra Woods,Anemone acutiloba,16.3,3.4,1.9,18
McGilvra Woods,Anemone acutiloba,16.3,1.5,0.6,11
McGilvra Woods,Anemone acutiloba,17.7,1.1,0.4,13
McGilvra Woods,Anemone acutiloba,17.4,0.4,0.4,30
McGilvra Woods,Trillium flexipes,18.4,0.8,1.1,45
McGilvra Woods,Anemone acutiloba,18.3,1.1,0.8,48
McGilvra Woods,Anemone acutiloba,18.6,1.5,0.2,18
McGilvra Woods,Anemone acutiloba,20.3,0.5,0.3,17
McGilvra Woods,Anemone acutiloba,21.5,0.3,0.9,50
McGilvra Woods,Anemone acutiloba,21.7,0.4,1,37
McGilvra Woods,Trillium flexipes,22,2.5,0.5,40
McGilvra Woods,Anemone acutiloba,24.9,0.6,0.8,50
McGilvra Woods,Anemone acutiloba,24.9,1.3,0.8,22
McGilvra Woods,Anemone acutiloba,26.9,1.4,1,10
McGilvra Woods,Trillium flexipes,27.6,1.9,1.4,50
McGilvra Woods,Trillium flexipes,32.6,0.9,2.9,50
McGilvra Woods,Trillium flexipes,33.1,1.6,2.2,44
McGilvra Woods,Trillium flexipes,34.8,0.5,1.5,45
McGilvra Woods,Trillium flexipes,33.4,3.2,2.1,44
McGilvra Woods,Trillium flexipes,34.1,2.7,1.4,42
McGilvra Woods,Trillium flexipes,34.3,3.8,1.5,46
McGilvra Woods,Trillium flexipes,34.7,3.7,1.6,50
McGilvra Woods,Trillium flexipes,35.9,2.5,0.2,12
McGilvra Woods,Trillium flexipes,36,2.8,0.6,40
McGilvra Woods,Trillium flexipes,36.5,4.8,1.7,50
McGilvra Woods,Trillium flexipes,36.9,4.6,2.2,50
McGilvra Woods,Trillium flexipes,37.9,4.3,2.5,47
McGilvra Woods,Trillium flexipes,39.7,2.9,1.1,27
McGilvra Woods,Trillium flexipes,40.9,2.4,0.5,15
McGilvra Woods,Anemone acutiloba,41.1,2.5,0.6,15
McGilvra Woods,Trillium flexipes,41.3,2.8,1,50
McGilvra Woods,Trillium flexipes,41.9,2.3,0.2,43
McGilvra Woods,Trillium flexipes,42.1,2.7,0.7,50
McGilvra Woods,Anemone acutiloba,49.9,3.9,1.6,6
McGilvra Woods,Sanguinaria canadensis,16.1,1.1,1.2,50
McGilvra Woods,Sanguinaria canadensis,15.8,1.2,1.3,50
McGilvra Woods,Sanguinaria canadensis,17.7,2,0.9,17
McGilvra Woods,Sanguinaria canadensis,17.7,1.8,0.8,10
McGilvra Woods,Trillium flexipes,49.8,7.9,3.1,17
McGilvra Woods,Trillium flexipes,42,8.5,0.3,9
McGilvra Woods,Trillium flexipes,40.3,7.8,2.2,50
McGilvra Woods,Trillium flexipes,40.1,5.5,2.7,50
McGilvra Woods,Anemone acutiloba,37.9,7.1,0.3,14
McGilvra Woods,Anemone acutiloba,36.8,7.7,0.4,11
McGilvra Woods,Trillium flexipes,36.3,7.5,0.2,3
McGilvra Woods,Trillium flexipes,36.1,8.2,1.3,50
McGilvra Woods,Trillium flexipes,36.4,10,1,41
McGilvra Woods,Sanguinaria canadensis,35.8,8.7,1.8,21
McGilvra Woods,Trillium flexipes,33.5,9.8,2.6,50
McGilvra Woods,Trillium flexipes,32,8.5,1.7,50
McGilvra Woods,Anemone acutiloba,30.4,7.5,0.4,42
McGilvra Woods,Sanguinaria canadensis,22.7,9.7,0.5,26
McGilvra Woods,Sanguinaria canadensis,22.6,9.8,0.6,40
McGilvra Woods,Sanguinaria canadensis,22.8,9.9,0.5,13
McGilvra Woods,Trillium flexipes,19.2,7.6,1.7,50
McGilvra Woods,Trillium flexipes,18.8,7.2,2,50
McGilvra Woods,Trillium flexipes,18.5,8.1,1.9,50
McGilvra Woods,Trillium flexipes,17.1,9.5,1.1,50
McGilvra Woods,Trillium flexipes,17,9.2,1.3,50
McGilvra Woods,Trillium flexipes,16.8,9.3,1.4,50
McGilvra Woods,Trillium flexipes,16.6,9.4,1.4,50
McGilvra Woods,Trillium flexipes,15.9,9.1,2.1,50
McGilvra Woods,Trillium flexipes,15.9,9.6,2.2,22
McGilvra Woods,Trillium flexipes,15.8,9.6,2.3,50
McGilvra Woods,Trillium flexipes,15.6,9.9,2.1,50
McGilvra Woods,Trillium flexipes,16.4,6.6,2.2,50
McGilvra Woods,Trillium flexipes,14.7,7.2,1.4,48
McGilvra Woods,Trillium flexipes,14.5,6.9,1.1,50
McGilvra Woods,Trillium flexipes,13.1,7.7,2.2,50
McGilvra Woods,Trillium flexipes,12,5.9,1.9,50
McGilvra Woods,Trillium flexipes,10.5,6.7,2.7,24
McGilvra Woods,Trillium flexipes,9.4,9.6,1.1,25
McGilvra Woods,Trillium flexipes,9.3,9.4,0.6,40
McGilvra Woods,Trillium flexipes,9,8.2,0.5,50
McGilvra Woods,Anemone acutiloba,7.9,8.1,0.5,7
McGilvra Woods,Anemone acutiloba,8.2,8.1,0.5,2
McGilvra Woods,Anemone acutiloba,8.5,9.8,0.5,7
McGilvra Woods,Anemone acutiloba,7.5,8.9,1,10
McGilvra Woods,Sanguinaria canadensis,6.1,8,1.8,50
McGilvra Woods,Trillium flexipes,8,10,0.8,50
McGilvra Woods,Trillium flexipes,7.4,9.3,0.8,50
McGilvra Woods,Trillium flexipes,7.2,8.5,1,18
McGilvra Woods,Trillium flexipes,7.1,5.9,1.1,50
McGilvra Woods,Trillium flexipes,6.4,6.5,0.2,18
McGilvra Woods,Trillium flexipes,6,6.4,0.7,34
McGilvra Woods,Trillium flexipes,5.8,6.7,0.5,10
McGilvra Woods,Anemone acutiloba,6.2,6.4,0.5,33
McGilvra Woods,Trillium flexipes,5.7,7.9,0.7,50
McGilvra Woods,Trillium flexipes,3.6,9.6,3.1,50
McGilvra Woods,Trillium flexipes,3.5,8.5,3.1,11
McGilvra Woods,Trillium flexipes,2,7.9,4.6,50
McGilvra Woods,Trillium flexipes,1.3,10.5,4.1,16
McGilvra Woods,Trillium flexipes,1.7,10.6,3.8,50
McGilvra Woods,Trillium flexipes,0.8,11.7,3.7,50
McGilvra Woods,Trillium flexipes,1.9,11.7,2.9,50
McGilvra Woods,Trillium flexipes,2.3,10.5,3.4,50
McGilvra Woods,Trillium flexipes,1.6,13,2.4,50
McGilvra Woods,Trillium flexipes,0.6,15,3.9,50
McGilvra Woods,Trillium flexipes,0.4,14.4,3.9,16
McGilvra Woods,Trillium flexipes,0.7,14.2,3.6,50
McGilvra Woods,Trillium flexipes,3.4,11.6,2.1,50
