site,year,id,species,basal.area.cm2,x,y,notes
McGilvra Woods,2019,2109,Acer saccharum,340.3655782,48,36.4,
McGilvra Woods,2019,2110,Acer saccharum,104.2815018,44.2,37.1,
McGilvra Woods,2019,2111,Acer saccharum,156.8758443,40.9,38.2,
McGilvra Woods,2019,2112,Acer saccharum,84.05370432,40.5,41.4,
McGilvra Woods,2019,2113,Carya cordiformis,439.3066359,37.7,37.5,
McGilvra Woods,2019,2114,Acer saccharum,950.671468,39.9,43.9,
McGilvra Woods,2019,2115,Acer saccharum,936.8058894,37.7,45.1,
McGilvra Woods,2019,2116,Tilia americana,1661.5975,38.2,47,
McGilvra Woods,2019,2117,Acer saccharum,739.51026,35.3,46,
McGilvra Woods,2019,2118,Quercus rubra,4500.013706,33.3,47.8,
McGilvra Woods,2019,2120,Tilia americana,798.9609974,29.4,41.7,
McGilvra Woods,2019,2121,Acer saccharum,511.8454801,21.5,43.7,
McGilvra Woods,2019,2122,Acer saccharum,802.3836245,16.1,49.7,
McGilvra Woods,2019,2124,Fraxinus americana,1850.673573,13.9,45,
McGilvra Woods,2019,2125,Acer saccharum,698.6655312,11.6,45,
McGilvra Woods,2019,2126,Fraxinus americana,1424.63091,7.9,45.3,
McGilvra Woods,2019,2127,Fraxinus americana,2747.144825,8,41.6,
McGilvra Woods,2019,2128,Acer saccharum,1168.948494,3.9,41.2,
McGilvra Woods,2019,2130,Fraxinus americana,1115.56156,0.7,41.6,
McGilvra Woods,2019,2131,Acer saccharum,421.7478668,1.6,33.9,
McGilvra Woods,2019,2132,Acer saccharum,1428.893079,1.4,27.4,
McGilvra Woods,2019,2133,Acer saccharum,202.9424468,3,21.6,
McGilvra Woods,2019,2134,Quercus alba,3502.685171,8.6,17.7,
McGilvra Woods,2019,2135,Acer saccharum,93.6220995,8.7,17.5,
McGilvra Woods,2019,2136,Acer saccharum,117.9537072,13.4,17,
McGilvra Woods,2019,2137,Acer saccharum,90.37533866,17,21.2,
McGilvra Woods,2019,2138,Acer saccharum,271.4037414,11.6,23.3,
McGilvra Woods,2019,2139,Tilia americana,1412.344944,12,25.9,
McGilvra Woods,2019,2140,Tilia americana,1979.035217,13.6,30,
McGilvra Woods,2019,2141,Tilia americana,1307.874843,16.5,35.2,
McGilvra Woods,2019,2142,Acer saccharum,171.3271131,9,29.1,
McGilvra Woods,2019,2143,Acer saccharum,72.097985,6.8,29.5,
